XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-74.00277668,40.76087502,143436,551,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,422,W 59 St & 10 Ave,40.770513,-73.988038,17704,Subscriber,1977,2
-73.99160000,40.74915600,143447,257,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,474,5 Ave & E 29 St,40.745168,-73.986831,15091,Subscriber,1979,1
-73.98776323,40.71269042,143455,816,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,2004,6 Ave & Broome St,40.724399,-74.004704,18330,Subscriber,1977,2
-73.99193043,40.71173107,143466,607,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,259,South St & Whitehall St,40.701221,-74.012342,16256,Subscriber,1981,1
-73.97668709,40.72228087,143496,517,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,403,E 2 St & 2 Ave,40.725029,-73.990697,21590,Subscriber,1983,1
-73.99193043,40.71173107,143497,505,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,265,Stanton St & Chrystie St,40.722293,-73.991475,19216,Subscriber,1992,1
-74.00670227,40.70355377,143506,236,NULL,NULL,315,South St & Gouverneur Ln,40.703554,-74.006702,259,South St & Whitehall St,40.701221,-74.012342,14630,Subscriber,1959,1
-74.00670227,40.70355377,143526,565,NULL,NULL,315,South St & Gouverneur Ln,40.703554,-74.006702,268,Howard St & Centre St,40.719105,-73.999733,20379,Subscriber,1971,1
-73.99192540,40.72110063,143543,212,NULL,NULL,473,Rivington St & Chrystie St,40.721101,-73.991925,251,Mott St & Prince St,40.723180,-73.994800,18053,Subscriber,1966,1
-73.98142006,40.72740794,143552,779,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,168,W 18 St & 6 Ave,40.739713,-73.994564,18298,Subscriber,1986,2
-73.99147535,40.72229346,143582,1019,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,195,Liberty St & Broadway,40.709056,-74.010434,16518,Subscriber,1960,1
-73.98142006,40.72740794,143587,602,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,402,Broadway & E 22 St,40.740343,-73.989551,19113,Subscriber,1981,1
