XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.98963911,40.69246277,172515,299,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,261,Johnson St & Gold St,40.694749,-73.983625,21455,Subscriber,1975,1
-73.97632328,40.68382604,172538,714,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,430,York St & Jay St,40.701485,-73.986569,20596,Subscriber,1985,1
-73.97632328,40.68382604,172588,439,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,144,Nassau St & Navy St,40.698399,-73.980689,15325,Subscriber,1968,1
-73.96024116,40.71534825,172673,476,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,19303,Customer,0,0
-73.96986848,40.69794000,172682,892,NULL,NULL,343,Clinton Ave & Flushing Ave,40.697940,-73.969868,2000,Front St & Washington St,40.702551,-73.989402,20952,Subscriber,1968,1
-73.96024116,40.71534825,172683,718,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,354,Emerson Pl & Myrtle Ave,40.693631,-73.962236,19679,Subscriber,1982,1
-73.96986848,40.69794000,172692,895,NULL,NULL,343,Clinton Ave & Flushing Ave,40.697940,-73.969868,2000,Front St & Washington St,40.702551,-73.989402,17127,Subscriber,1975,2
-73.96024116,40.71534825,172733,244,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,460,S 4 St & Wythe Ave,40.712859,-73.965903,19500,Subscriber,1983,1
-73.96023854,40.68900443,172793,252,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,244,Willoughby Ave & Hall St,40.691960,-73.965369,19726,Subscriber,1965,2
-73.96024116,40.71534825,172805,271,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,389,Broadway & Berry St,40.710446,-73.965251,17800,Subscriber,1989,1
-73.96024116,40.71534825,172884,2441,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,251,Mott St & Prince St,40.723180,-73.994800,21305,Customer,0,0
-73.98912867,40.68926942,173038,466,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,14766,Subscriber,1986,2
-73.98912867,40.68926942,173039,449,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,15428,Subscriber,1983,1
-73.95381995,40.69331716,173075,552,NULL,NULL,373,Willoughby Ave & Walworth St,40.693317,-73.953820,241,DeKalb Ave & S Portland Ave,40.689810,-73.974931,19145,Subscriber,1986,1
-73.97632328,40.68382604,173180,398,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,258,DeKalb Ave & Vanderbilt Ave,40.689407,-73.968855,16017,Subscriber,1971,2
-73.97703874,40.69327018,173334,312,NULL,NULL,245,Myrtle Ave & St Edwards St,40.693270,-73.977039,258,DeKalb Ave & Vanderbilt Ave,40.689407,-73.968855,19202,Subscriber,1983,1
-73.96087600,40.71045100,173381,1283,NULL,NULL,532,S 5 Pl & S 4 St,40.710451,-73.960876,161,LaGuardia Pl & W 3 St,40.729170,-73.998102,20924,Subscriber,1977,1
-73.96087600,40.71045100,173482,763,NULL,NULL,532,S 5 Pl & S 4 St,40.710451,-73.960876,295,Pike St & E Broadway,40.714067,-73.992939,19785,Subscriber,1984,1
-73.98963911,40.69246277,173497,315,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,2000,Front St & Washington St,40.702551,-73.989402,16541,Subscriber,1986,1
-73.97632328,40.68382604,173531,387,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,244,Willoughby Ave & Hall St,40.691960,-73.965369,15428,Subscriber,1982,1
-73.97632328,40.68382604,173551,490,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,262,Washington Park,40.691782,-73.973730,15035,Subscriber,1977,1
-73.98963911,40.69246277,173660,363,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,278,Concord St & Bridge St,40.697666,-73.984764,15098,Subscriber,1978,2
-73.98912867,40.68926942,173681,1018,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,344,Monroe St & Bedford Ave,40.685144,-73.953809,14696,Subscriber,1982,1
-73.98912867,40.68926942,173769,444,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,430,York St & Jay St,40.701485,-73.986569,16206,Subscriber,1984,2
-73.98912867,40.68926942,173770,441,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,430,York St & Jay St,40.701485,-73.986569,20682,Subscriber,1980,1
-73.98362464,40.69474881,173781,1206,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,261,Johnson St & Gold St,40.694749,-73.983625,18901,Subscriber,1975,1
-73.96596410,40.68317813,173801,243,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,258,DeKalb Ave & Vanderbilt Ave,40.689407,-73.968855,15420,Subscriber,1971,1
-73.97632328,40.68382604,173821,3941,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,313,Washington Ave & Park Ave,40.696102,-73.967510,14953,Customer,0,0
-73.97632328,40.68382604,173846,3762,NULL,NULL,83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,313,Washington Ave & Park Ave,40.696102,-73.967510,17519,Customer,0,0
-73.98912867,40.68926942,174097,806,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,270,Adelphi St & Myrtle Ave,40.693083,-73.971789,18413,Subscriber,1981,1
-73.98912867,40.68926942,174221,354,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,391,Clark St & Henry St,40.697601,-73.993446,20238,Subscriber,1981,1
-73.97493121,40.68981035,174305,3113,NULL,NULL,241,DeKalb Ave & S Portland Ave,40.689810,-73.974931,241,DeKalb Ave & S Portland Ave,40.689810,-73.974931,17352,Customer,0,0
-73.97493121,40.68981035,174349,2439,NULL,NULL,241,DeKalb Ave & S Portland Ave,40.689810,-73.974931,241,DeKalb Ave & S Portland Ave,40.689810,-73.974931,16987,Customer,0,0
-73.96024116,40.71534825,174424,1168,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,365,Fulton St & Grand Ave,40.682232,-73.961458,18684,Customer,0,0
-73.96024116,40.71534825,174550,255,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,532,S 5 Pl & S 4 St,40.710451,-73.960876,21124,Subscriber,1986,1
